# Russian noun declension paradigms (hold-popup groups).
# Generated by scripts/paradigms.py from the lexicon's lemmas via
# mawo-pymorphy3 (OpenCorpora 2025 dicts, CC BY-SA 3.0).
# lemma<TAB>number<TAB>nomn|gent|datv|accs|ablt|loct  (empty = no form)
автомобиль	sing	автомобиль|автомобиля|автомобилю|автомобиль|автомобилем|автомобиле
автоответчик	plur	автоответчики|автоответчиков|автоответчикам|автоответчики|автоответчиками|автоответчиках
автоответчик	sing	автоответчик|автоответчика|автоответчику|автоответчик|автоответчиком|автоответчике
автопилот	plur	автопилоты|автопилотов|автопилотам|автопилоты|автопилотами|автопилотах
автопилот	sing	автопилот|автопилота|автопилоту|автопилот|автопилотом|автопилоте
автор	plur	авторы|авторов|авторам|авторов|авторами|авторах
автор	sing	автор|автора|автору|автора|автором|авторе
авторитет	plur	авторитеты|авторитетов|авторитетам|авторитеты|авторитетами|авторитетах
авторитет	sing	авторитет|авторитета|авторитету|авторитет|авторитетом|авторитете
автостоп	plur	автостопы|автостопов|автостопам|автостопы|автостопами|автостопах
автостоп	sing	автостоп|автостопа|автостопу|автостоп|автостопом|автостопе
автострада	plur	автострады|автострад|автострадам|автострады|автострадами|автострадах
автострада	sing	автострада|автострады|автостраде|автостраду|автострадой|автостраде
ага	plur	аги|аг|агам|аг|агами|агах
ага	sing	ага|аги|аге|агу|агой|аге
агата	plur	агаты|агат|агатам|агат|агатами|агатах
агата	sing	агата|агаты|агате|агату|агатой|агате
агенство	sing	агенство|агенство|агенство|агенство|агенство|агенство
агент	plur	агенты|агентов|агентам|агенты|агентами|агентах
агент	sing	агент|агента|агенту|агент|агентом|агенте
агентство	plur	агентства|агентств|агентствам|агентства|агентствами|агентствах
агентство	sing	агентство|агентства|агентству|агентство|агентством|агентстве
агнес	sing	агнес|агнес|агнес|агнес|агнес|агнес
агония	plur	агонии|агоний|агониям|агонии|агониями|агониях
агония	sing	агония|агонии|агонии|агонию|агонией|агонии
агос	plur	агосы|агосов|агосам|агосы|агосами|агосах
